pTiming,qTiming,rTiming,sTiming,tTiming
0.5925,0.6405,0.707875,0.735625,0.921
1.217,1.268125,1.333375,1.36075,1.5495
1.805,1.882375,1.9245,1.951625,2.1355
2.3895,2.461,2.51525,2.542875,2.727
2.987,3.0395,3.108125,3.13625,3.3185
3.628,3.668,3.73825,3.765625,3.951
4.2795,4.33225,4.397125,4.424375,4.613
4.969,5.034875,5.087375,5.11475,5.302
5.6585,5.7345,5.777875,5.806125,5.992
6.315,6.367375,6.4245,6.4535,6.6395
6.952,NULL,7.062375,7.09,7.2755
7.5575,7.610125,7.672125,7.699125,7.884
8.182,8.228375,8.296,8.322875,8.5085
8.8495,8.894375,8.96775,8.994875,9.0515
9.545,9.603625,9.664875,9.692125,9.8815
10.24,10.3175,10.358875,10.386625,10.5735
10.869,10.93,10.98175,11.0105,11.198
11.4785,11.56075,11.59625,11.62425,11.813
12.0685,12.145375,12.19225,12.21975,12.4045
12.652,12.72375,12.764375,12.793,12.9775
13.22,13.279625,13.34025,13.3675,13.5515
13.7945,13.86025,13.90925,13.936625,14.1205
14.412,14.472625,14.5345,14.561625,14.7485
15.1905,NULL,15.3125,15.341,15.5285
15.93,16.01825,16.053625,16.080875,16.268
16.659,16.71425,16.775,16.8025,16.994
17.3585,17.4245,17.482625,17.5105,17.6995
18.066,18.107125,18.173375,18.202,18.393
18.7285,18.772,18.84625,18.87375,19.0645
19.346,19.4305,19.47075,19.49875,19.6865
19.9615,20.030625,20.08875,20.116625,20.303
20.564,20.61525,20.68075,20.709625,20.897
21.1545,21.223375,21.27175,21.2995,21.4875
21.7355,21.815625,21.85125,21.87875,22.066
22.323,22.402875,22.4415,22.469125,22.657
22.912,22.96575,23.02625,23.054375,23.238
23.4895,23.541625,23.6135,23.641375,23.828
24.0975,24.1785,24.214125,24.2415,24.43
24.712,24.785875,24.826,24.853375,25.0405
25.3535,25.40275,25.469125,25.497375,25.685
25.9695,26.020625,26.0825,26.111,26.2975
26.5765,26.642875,26.69475,26.722,26.91
27.1855,27.236375,27.300875,27.3285,27.515
27.7855,27.827875,27.903375,27.931625,28.1175
28.363,28.444625,28.484,28.51275,28.698
28.943,29.02625,29.061375,29.088625,29.2725
29.5025,29.57,29.619625,29.64725,29.832
30.051,30.138625,30.172375,30.19975,30.383
30.5945,30.646,30.712,30.740875,30.9245
31.154,31.23425,31.26975,31.297125,31.4835
31.7055,31.77225,31.823,31.850625,32.034
32.2985,32.375375,32.413,32.441125,32.6275
32.8855,32.940125,33.004875,33.033375,33.2195
33.5165,33.58125,33.6285,33.65625,33.8445
34.142,34.194375,34.25425,34.281875,34.4695
34.812,34.861625,34.92225,34.95025,35.138
35.4455,35.501625,35.55175,35.580625,35.7695
36.087,36.143875,36.2005,36.22825,36.417
36.7015,36.775375,36.8175,36.8455,37.035
37.3125,37.378625,37.422625,37.45075,37.637
37.888,37.954125,38.006875,38.035875,38.2225
38.4745,38.526125,38.59025,38.61825,38.8045
39.0515,39.125375,39.1645,39.192125,39.3765
39.624,39.678375,39.736875,39.764375,39.9485
40.1865,40.22925,40.297875,40.326625,40.5125
40.74,40.807625,40.862875,40.890875,41.076
41.3205,41.37675,41.437,41.4645,41.6495
41.912,41.98725,42.0285,42.056125,42.243
42.54,42.60525,42.654875,42.682625,42.8695
43.166,43.21775,43.285125,43.314,43.4995
43.8045,43.85175,43.91725,43.945,44.1295
44.4115,44.45775,44.527875,44.555625,44.7425
45.012,45.081875,45.12475,45.15275,45.34
45.575,45.63425,45.6965,45.725625,45.9115
46.1465,46.210125,46.26825,46.296,46.4825
46.717,46.789125,46.831875,46.859375,47.0465
47.28,47.36,47.393875,47.421125,47.6045
47.8275,47.897,47.94825,47.977125,48.162
48.382,48.446625,48.50225,48.530375,48.7165
48.9525,49.033625,49.07025,49.097625,49.281
49.529,49.607625,49.644875,49.672375,49.8585
50.1375,50.172875,50.2405,50.2685,50.453
50.7005,50.782625,50.823125,50.85175,51.0375
51.298,51.348,51.414625,51.442125,51.6265
51.8815,51.934125,51.997125,52.0245,52.2105
52.4675,52.539375,52.5815,52.609625,52.7945
53.029,53.088125,53.147125,53.175625,53.3585
53.5865,53.67375,53.7125,53.740375,53.926
54.1505,54.230625,54.270375,54.29775,54.4815
54.709,54.788375,54.827,54.8545,55.035
55.2555,55.317125,55.375375,55.404,55.586
55.797,55.870625,55.921125,55.949375,56.129
56.3535,56.41475,56.47125,56.498625,56.681
56.9025,56.96075,57.02075,57.047875,57.2295
57.462,57.54025,57.582375,57.61025,57.791
58.026,58.0985,58.144125,58.1725,58.3535
58.618,58.659875,58.735125,58.76225,58.944
59.229,59.302,59.3415,59.369125,59.551
59.843,59.887875,59.9535,59.98125,60.165
60.448,60.4965,60.561375,60.589,60.7705
61.0565,61.133,61.171,61.198375,61.3795
61.656,61.70025,61.768,61.797125,61.9805
62.247,62.298375,62.363125,62.391,62.574
62.8425,62.90825,62.962375,62.99,63.1715
63.4345,63.52,63.56075,63.58875,63.7695
64.033,64.081625,64.1495,64.178375,64.361
64.6335,64.683875,64.75125,64.7785,64.9625
65.2395,65.291375,65.35825,65.38575,65.5685
65.862,65.93725,65.9795,66.007125,66.189
66.485,66.5355,66.599625,66.62825,66.8105
67.108,67.15625,67.22275,67.250125,67.432
67.7185,67.799125,67.839125,67.866625,68.0505
68.34,68.427375,68.463875,68.4915,68.673
68.945,68.99025,69.062,69.091,69.2745
69.54,69.592625,69.657875,69.6855,69.8675
70.1435,70.1915,70.26425,70.29175,70.476
70.771,70.8145,70.888125,70.91525,71.097
71.383,71.432875,71.500875,71.5295,71.7125
72.003,72.054375,72.12275,72.1505,72.335
72.634,72.709,72.747875,72.7755,72.959
73.272,73.3545,73.391875,73.41925,73.6035
73.9,73.9465,74.016375,74.04525,74.229
74.513,74.571375,74.627875,74.65575,74.838
75.1155,75.187875,75.233875,75.261375,75.4465
75.708,75.766,75.830625,75.858125,76.042
76.293,76.347625,76.417625,76.44625,76.6275
76.882,76.94425,76.998375,77.0265,77.209
77.4745,77.553375,77.59175,77.619375,77.8005
78.0425,78.100125,78.1675,78.196,78.3775
78.633,78.722375,78.761875,78.790375,78.9755
79.319,79.259125,79.43825,79.46575,79.651
80.0285,79.9355,80.139875,80.16725,80.354
80.725,80.76925,80.8375,80.8655,81.0515
81.416,81.4945,81.537625,81.566,81.747
82.0785,82.159875,82.19725,82.225,82.4115
82.732,82.819875,82.85225,82.879625,83.0685
83.382,83.4095,83.498375,83.526375,83.714
84.006,84.05975,84.13325,84.16175,84.345
84.656,84.697,84.773125,84.801,84.9845
85.2835,85.36275,85.401125,85.428875,85.612
85.89,85.96675,86.006,86.03525,86.219
86.487,86.5495,86.60625,86.63425,86.8185
87.084,87.13475,87.207,87.234625,87.419
87.688,87.7495,87.807875,87.835375,88.0175
88.3005,88.37825,88.417375,88.4455,88.6285
88.9035,88.945,89.020125,89.04875,89.23
89.52,89.599375,89.64225,89.669875,89.855
90.127,90.1805,90.24675,90.27425,90.4585
90.766,90.812625,90.880625,90.909125,91.093
91.3945,91.446,91.517,91.545125,91.7305
92.0835,92.150875,92.198125,92.2255,92.411
92.784,92.83025,92.899125,92.927,93.1135
93.46,93.526625,93.579375,93.608,93.7945
94.121,94.1675,94.2365,94.2645,94.452
94.765,94.812125,94.8785,94.906125,95.093
95.387,95.459,95.503375,95.53175,95.7165
95.999,96.071625,96.11325,96.142125,96.3275
96.61,96.690875,96.728125,96.755625,96.941
97.219,97.2645,97.335625,97.363375,97.549
97.838,97.885,97.954125,97.981875,98.1655
98.444,98.496,98.561875,98.59075,98.774
99.0595,99.120625,99.1815,99.208875,99.394
99.6955,99.7695,99.810875,99.8385,100.0235
100.36,100.398125,100.4645,100.4925,100.6785
100.986,101.05725,101.09625,101.12525,101.309
101.648,101.703875,101.765125,101.792375,101.9795
102.318,102.356875,102.409125,102.43675,102.6225
102.9425,102.982875,103.05325,103.08175,103.2645
103.5555,103.63225,103.67575,103.704,103.8885
104.1865,104.236375,104.30375,104.3315,104.515
104.8095,104.860625,104.92725,104.955,105.138
105.4325,105.507,105.551,105.58,105.764
106.055,106.1055,106.171125,106.199,106.3835
106.6715,106.718375,106.7825,106.81,106.997
107.28,107.355625,107.39925,107.427,107.6105
107.88,107.950625,108.0135,108.042125,108.226
108.516,108.556,108.629875,108.6575,108.842
109.1475,109.224125,109.261125,109.2885,109.473
109.8025,109.847625,109.920375,109.948125,110.1325
110.462,110.517875,110.577,110.605625,110.7885
111.0975,111.1505,111.212875,111.24075,111.425
111.724,111.800875,111.841375,111.86875,112.0535
112.347,112.413125,112.4645,112.4925,112.676
112.953,113.029125,113.069875,113.098875,113.2815
113.552,113.590625,113.665,113.692875,113.876
114.1375,114.189,114.255375,114.28275,114.465
114.7295,114.777125,114.84325,114.8705,115.053
115.322,115.391125,115.44425,115.472625,115.656
115.934,116.014625,116.05525,116.083125,116.2655
116.5775,116.6225,116.69425,116.7215,116.907
117.2355,117.309,117.3545,117.38225,117.5655
117.9125,117.865625,118.0295,118.058,118.2435
118.602,118.570625,118.72025,118.748,118.9355
119.2845,119.364,119.402875,119.4305,119.6165
119.954,120.035375,120.074125,120.102625,120.2885
120.5895,120.665375,120.70775,120.736375,120.9215
121.2215,121.273625,121.339875,121.36725,121.554
121.839,121.9,121.95375,121.981125,122.1655
122.45,122.496375,122.566125,122.59425,122.778
123.0305,123.115125,123.155375,123.184375,123.369
123.6235,123.668875,123.74325,123.771,123.954
124.206,124.27575,124.327,124.354125,124.5375
124.8015,124.863125,124.926,124.954,NULL
