pTiming,rTiming,s1Timing,tTiming,s2Timing
0.5925,0.707875,0.8,0.921,1.08
1.217,1.333375,1.42,1.5495,1.7
1.805,1.9245,2.02,2.1355,2.28
2.3895,2.51525,2.62,2.727,2.88
2.987,3.108125,3.22,3.3185,3.46
3.628,3.73825,3.82,3.951,4.1
4.2795,4.397125,4.5,4.613,4.76
4.969,5.087375,5.18,5.302,5.46
5.6585,5.777875,5.86,5.992,6.14
6.315,6.4245,6.52,6.6395,6.78
6.952,7.062375,7.16,7.2755,7.44
7.5575,7.672125,7.78,7.884,8.02
8.182,8.296,8.4,8.5085,8.64
8.8495,8.96775,9.04,9.1515,9.32
9.545,9.664875,9.76,9.8815,10.02
10.24,10.358875,10.44,10.5735,10.72
10.869,10.98175,11.08,11.198,11.34
11.4785,11.59625,11.7,11.813,11.96
12.0685,12.19225,12.3,12.4045,12.56
12.652,12.764375,12.88,12.9775,13.12
13.22,13.34025,13.44,13.5515,13.7
13.7945,13.90925,14,14.1205,14.28
14.412,14.5345,14.62,14.7485,14.92
15.1905,15.3125,15.38,15.5285,15.7
15.93,16.053625,16.14,16.268,16.44
16.659,16.775,16.86,16.9935,17.16
17.3585,17.482625,17.56,17.6995,17.86
18.066,18.173375,18.26,18.393,18.54
18.7285,18.84625,18.94,19.0645,19.22
19.346,19.47075,19.56,19.6865,19.84
19.9615,20.08875,20.18,20.303,20.46
20.564,20.68075,20.78,20.897,21.04
21.1545,21.27175,21.36,21.4875,21.64
21.735,21.85125,21.94,22.066,22.2
22.323,22.4415,22.54,22.657,22.8
22.912,23.02625,23.14,23.238,23.38
23.4895,23.6135,23.7,23.828,23.96
24.0975,24.214125,24.3,24.43,24.58
24.712,24.826,24.92,25.0405,25.18
25.3535,25.469125,25.56,25.685,25.82
25.9695,26.0825,26.18,26.2975,26.44
26.5765,26.69475,26.78,26.91,27.04
27.1855,27.300875,27.38,27.515,27.66
27.7855,27.903375,28,28.1175,28.24
28.363,28.484,28.58,28.698,28.82
28.943,29.061375,29.14,29.2725,29.4
29.5025,29.619625,29.72,29.832,29.96
30.051,30.172375,30.26,30.383,30.52
30.5945,30.712,30.82,30.9245,31.06
31.154,31.26975,31.36,31.4835,31.62
31.7055,31.823,31.92,32.034,32.18
32.2985,32.413,32.52,32.6275,32.76
32.8855,33.004875,33.1,33.2195,33.36
33.5165,33.6285,33.72,33.8445,34
34.142,34.25425,34.34,34.4695,34.62
34.812,34.92225,35,35.138,35.28
35.4455,35.55175,35.64,35.7695,35.9
36.087,36.2005,36.28,36.417,36.56
36.7015,36.8175,36.9,37.035,37.16
37.3125,37.422625,37.52,37.637,37.78
37.888,38.006875,38.1,38.2225,38.36
38.4745,38.59025,38.68,38.8045,38.94
39.0515,39.1645,39.26,39.3765,39.5
39.624,39.736875,39.82,39.9485,40.08
40.1865,40.297875,40.4,40.5125,40.64
40.74,40.862875,40.96,41.076,41.2
41.3205,41.437,41.52,41.6495,41.78
41.912,42.0285,42.1,42.243,42.38
42.54,42.654875,42.74,42.8695,43
43.166,43.285125,43.36,43.4995,43.62
43.8045,43.91725,44,44.1295,44.26
44.411,44.527875,44.62,44.7425,44.88
45.012,45.12475,45.22,45.34,45.48
45.575,45.6965,45.8,45.9115,46.04
46.1465,46.26825,46.36,46.4825,46.62
46.717,46.831875,46.92,47.0465,47.18
47.2795,47.393875,47.48,47.6045,47.74
47.8275,47.94825,48.06,48.162,48.28
48.382,48.50225,48.6,48.7165,48.84
48.9525,49.07025,49.14,49.281,49.4
49.529,49.644875,49.72,49.8585,49.98
50.1375,50.2405,50.32,50.453,50.58
50.7005,50.823125,50.92,51.0375,51.16
51.298,51.414625,51.5,51.6265,51.76
51.8815,51.997125,52.08,52.2105,52.34
52.4675,52.5815,52.66,52.7945,52.92
53.029,53.147125,53.24,53.358,53.48
53.5865,53.7125,53.8,53.926,54.06
54.1505,54.270375,54.36,54.4815,54.6
54.709,54.827,54.9,55.035,55.16
55.2555,55.375375,55.48,55.586,55.72
55.797,55.921125,56.02,56.129,56.26
56.3535,56.47125,56.56,56.681,56.8
56.9025,57.02075,57.1,57.2295,57.36
57.462,57.582375,57.66,57.791,57.92
58.026,58.144125,58.24,58.3535,58.48
58.618,58.735125,58.82,58.944,59.08
59.229,59.3415,59.42,59.5505,59.68
59.843,59.9535,60.04,60.165,60.3
60.448,60.561375,60.64,60.7705,60.9
61.056,61.171,61.26,61.3795,61.52
61.656,61.768,61.86,61.9805,62.12
62.247,62.363125,62.44,62.574,62.7
62.8425,62.962375,63.04,63.1715,63.3
63.434,63.56075,63.64,63.7695,63.9
64.0325,64.1495,64.24,64.361,64.5
64.6335,64.75125,64.84,64.9625,65.1
65.2395,65.35825,65.44,65.5685,65.7
65.862,65.9795,66.06,66.189,66.32
66.485,66.599625,66.68,66.8105,66.94
67.108,67.22275,67.3,67.432,67.58
67.7185,67.839125,67.92,68.0505,68.2
68.34,68.463875,68.54,68.673,68.82
68.945,69.062,69.16,69.2745,69.4
69.54,69.657875,69.74,69.8675,70
70.1435,70.26425,70.34,70.476,70.62
70.771,70.888125,70.96,71.097,71.24
71.383,71.500875,71.58,71.7125,71.86
72.003,72.12275,72.2,72.335,72.48
72.6335,72.747875,72.84,72.959,73.1
73.272,73.391875,73.46,73.6035,73.74
73.9,74.016375,74.1,74.229,74.36
74.513,74.627875,74.7,74.838,74.98
75.1155,75.233875,75.32,75.4465,75.58
75.708,75.830625,75.92,76.042,76.18
76.2925,76.417625,76.5,76.6275,76.76
76.882,76.998375,77.08,77.209,77.34
77.4745,77.59175,77.66,77.8005,77.94
78.0425,78.1675,78.26,78.377,78.52
78.633,78.761875,78.86,78.975,79.12
79.3185,79.43825,79.52,79.651,79.8
80.0285,80.139875,80.22,80.354,80.5
80.725,80.8375,80.92,81.0515,81.2
81.416,81.537625,81.62,81.747,81.88
82.0785,82.19725,82.28,82.411,82.56
82.732,82.85225,82.96,83.0685,83.22
83.382,83.498375,83.58,83.714,83.84
84.006,84.13325,84.22,84.345,84.48
84.656,84.773125,84.84,84.9845,85.12
85.2835,85.401125,85.48,85.612,85.76
85.89,86.006,86.1,86.219,86.36
86.487,86.60625,86.7,86.8185,86.96
87.084,87.207,87.3,87.419,87.56
87.688,87.807875,87.9,88.0175,88.16
88.3,88.417375,88.5,88.6285,88.76
88.9035,89.020125,89.1,89.23,89.36
89.52,89.64225,89.72,89.855,90
90.1265,90.24675,90.32,90.4585,90.6
90.766,90.880625,90.96,91.093,91.24
91.3945,91.517,91.6,91.7305,91.88
92.0835,92.198125,92.28,92.411,92.56
92.784,92.899125,92.98,93.1135,93.26
93.46,93.579375,93.66,93.794,93.92
94.121,94.2365,94.32,94.452,94.6
94.765,94.8785,94.96,95.093,95.24
95.387,95.503375,95.6,95.7165,95.86
95.999,96.11325,96.2,96.327,96.46
96.6095,96.728125,96.8,96.941,97.08
97.2195,97.335625,97.42,97.549,97.7
97.8385,97.954125,98.04,98.1655,98.3
98.443,98.561875,98.66,98.7735,98.92
99.0605,99.1815,99.26,99.3955,99.54
