,Q,Qtiming
0,-0.028877314434503712,0.6405
1,-0.03162842942488097,1.268125
2,-0.029450887892115273,1.882375
3,-0.03271682937603908,2.461
4,-0.026447807244812632,3.0395
5,-0.02581917738107893,3.668
6,-0.028045617903371223,4.33225
7,-0.02588533343395771,5.034875
8,-0.029217374421271182,5.7345
9,-0.029162022672669187,6.367375
10,-0.02771779189953138,7.610125
11,-0.02793891909633662,8.228375
12,-0.02560352708488979,8.894375
13,-0.030108401918489708,9.603625
14,-0.024274417938325576,10.3175
15,-0.03278960972140725,10.93
16,-0.035726789873221816,11.56075
17,-0.02633304500012878,12.145375
18,-0.0389054843865133,12.72375
19,-0.0293403029450907,13.279625
20,-0.035612783671907705,13.86025
21,-0.02742165737841603,14.472625
22,-0.033707796995466895,15.15875
23,-0.026428675541764368,16.01825
24,-0.02816430563145824,16.71425
25,-0.03079019095808936,17.4245
26,-0.030316030479727668,18.107125
27,-0.02883808704579668,18.772
28,-0.032753289460923166,19.4305
29,-0.03589664358830305,20.030625
30,-0.03545882586285075,20.61525
31,-0.03199229311153406,21.223375
32,-0.03075099486485379,21.815625
33,-0.033843894066485636,22.402875
34,-0.03353239188045006,22.96575
35,-0.028728646490407038,23.541625
36,-0.033409061649199566,24.1785
37,-0.030982896868506183,24.785875
38,-0.03230081289835249,25.40275
39,-0.031622279858656,26.020625
40,-0.031163631277666682,26.642875
41,-0.0315168720920512,27.236375
42,-0.029779943524748834,27.827875
43,-0.03228085432774939,28.444625
44,-0.028773495268948145,29.02625
45,-0.038230522351610605,29.57
46,-0.030619734216177728,30.138625
47,-0.029109833169235023,30.646
48,-0.03061273542636294,31.23425
49,-0.02892065862160824,31.77225
50,-0.03368140926736114,32.375375
51,-0.026025958322420037,32.940125
52,-0.0331777773537454,33.58125
53,-0.028322065025992466,34.194375
54,-0.029063063432996115,34.861625
55,-0.029627859445736118,35.501625
56,-0.025753554097408798,36.143875
57,-0.027477842169416126,36.775375
58,-0.03139505031679984,37.378625
59,-0.027673413875885546,37.954125
60,-0.029017242794671588,38.526125
61,-0.03192214272358312,39.125375
62,-0.02867954613137963,39.678375
63,-0.034323574634411734,40.22925
64,-0.02521325511475587,40.807625
65,-0.026710106694239923,41.37675
66,-0.032918529873408306,41.98725
67,-0.024638833377098324,42.60525
68,-0.028377635274046104,43.21775
69,-0.02977163612783188,43.85175
70,-0.02780275721120964,44.45775
71,-0.031106825107129348,45.081875
72,-0.028344019962746776,45.63425
73,-0.028400148210227502,46.210125
74,-0.03423388022309331,46.789125
75,-0.029051273398360673,47.36
76,-0.035719922080125005,47.897
77,-0.028432205212776496,48.446625
78,-0.03189602464055942,49.033625
79,-0.03426234372178621,49.607625
80,-0.032348341511246076,50.172875
81,-0.027623602132018713,50.782625
82,-0.03437438377806068,51.348
83,-0.030848203356856757,51.934125
84,-0.03499310187212608,52.539375
85,-0.024958645375366212,53.088125
86,-0.030563557835888527,53.67375
87,-0.035496701791562585,54.230625
88,-0.030231198559135978,54.788375
89,-0.03535566278975435,55.317125
90,-0.02837573842276598,55.870625
91,-0.031877843663964414,56.41475
92,-0.032038437539774416,56.96075
93,-0.031684339497046105,57.54025
94,-0.028636289704185927,58.0985
95,-0.03049626647901624,58.659875
96,-0.029965813188714184,59.302
97,-0.027247517387995614,59.887875
98,-0.0290419506206932,60.4965
99,-0.024995978044481105,61.133
100,-0.031213551773337227,61.70025
101,-0.030420351787124475,62.298375
102,-0.03207685086302796,62.90825
103,-0.03100237390562491,63.52
104,-0.029024826995354608,64.081625
105,-0.025932959471180034,64.683875
106,-0.03508285238308961,65.291375
107,-0.02881147547944773,65.93725
108,-0.030601514417542632,66.5355
109,-0.025624400495884637,67.15625
110,-0.03065681783887155,67.799125
111,-0.02915288931340258,68.427375
112,-0.03220964504242242,68.99025
113,-0.026830654762112226,69.592625
114,-0.03385183529684156,70.1915
115,-0.027174613462957933,70.8145
116,-0.031911623872593095,71.432875
117,-0.029257981444559586,72.054375
118,-0.028374811286323087,72.709
119,-0.02903346715739815,73.3545
120,-0.02923381767704999,73.9465
121,-0.028924102662669066,74.571375
122,-0.03193293466870085,75.187875
123,-0.028914958769773687,75.766
124,-0.03299669991941147,76.347625
125,-0.0293932947035566,76.94425
126,-0.033629148229273084,77.553375
127,-0.02098658085731555,78.100125
128,-0.02622406092220772,78.722375
129,-0.021207489498107114,79.259125
130,-0.026864092241900624,79.9355
131,-0.028883633542162872,80.76925
132,-0.02509950806628769,81.4945
133,-0.029394165307317584,82.159875
134,-0.02322721961325907,82.819875
135,-0.02959719806851634,83.4095
136,-0.02832339814678619,84.05975
137,-0.028164572257006033,84.697
138,-0.02661170746164563,85.36275
139,-0.030368058166109765,85.96675
140,-0.027329992169403912,86.5495
141,-0.02989983169067631,87.13475
142,-0.03098903057440853,87.7495
143,-0.031749040106262394,88.37825
144,-0.03083622722027776,88.945
145,-0.03032664388285833,89.599375
146,-0.029705427294577744,90.1805
147,-0.03177441302484885,90.812625
148,-0.025832678716514314,91.446
149,-0.025240559371117906,92.150875
150,-0.027957500230652785,92.83025
151,-0.02487712020818532,93.526625
152,-0.026371344846651212,94.1675
153,-0.03234662665036803,94.812125
154,-0.03119693830116147,95.459
155,-0.029178021923031466,96.071625
156,-0.028598007607574326,96.690875
157,-0.031204382285456543,97.2645
158,-0.031968500968552305,97.885
159,-0.031188345953073626,98.496
160,-0.029536382356171467,99.120625
161,-0.03356152935629382,99.7695
162,-0.029948678392395567,100.398125
163,-0.03468323013653821,101.05725
164,-0.03180653493737753,101.703875
165,-0.03451726439481332,102.356875
166,-0.03005965138723282,102.982875
167,-0.031126171759828472,103.63225
168,-0.03514322485756274,104.236375
169,-0.029955155452807823,104.860625
170,-0.032771000129109336,105.507
171,-0.03216760486988575,106.1055
172,-0.02996784103282906,106.718375
173,-0.033535044730341315,107.355625
174,-0.03029074779444765,107.950625
175,-0.032480722438508726,108.556
176,-0.027927731228216537,109.224125
177,-0.031052190319730232,109.847625
178,-0.02825283801029837,110.517875
179,-0.032395887371540075,111.1505
180,-0.02916187035332046,111.800875
181,-0.03447084891996769,112.413125
182,-0.03188450459711554,113.029125
183,-0.03275109702951759,113.590625
184,-0.03175516212643907,114.189
185,-0.03534325295526703,114.777125
186,-0.029435484516141433,115.391125
187,-0.030300249688800976,116.014625
188,-0.028651680460230648,116.6225
189,-0.028477515509319946,117.309
190,-0.029968790344272547,117.865625
191,-0.030149638207305308,118.570625
192,-0.02669134261116736,119.364
193,-0.03180515092637145,120.035375
194,-0.029967405661124914,120.665375
195,-0.02849226519734046,121.273625
196,-0.035697229431365274,121.9
197,-0.03430591698051752,122.496375
198,-0.026934925588895906,123.115125
199,-0.034677738011927674,123.668875
200,-0.038269726948730896,124.27575
201,-0.005821550408643476,124.863125
